episode_name,date,episode_number,episode_link,announcment_check
High Hopes (2),"Saturday, 30 Apr 2022 01:01:34 GMT",Ep. 14 ,https://www.webtoons.com/en/supernatural/eros-conquers-all/ep-14-high-hopes-2/viewer?title_no=3312&episode_no=14,
High Hopes,"Saturday, 23 Apr 2022 01:01:29 GMT",Ep. 13 ,https://www.webtoons.com/en/supernatural/eros-conquers-all/ep-13-high-hopes/viewer?title_no=3312&episode_no=13,
Portals and Portents (2),"Saturday, 16 Apr 2022 01:01:27 GMT",Ep. 12 ,https://www.webtoons.com/en/supernatural/eros-conquers-all/ep-12-portals-and-portents-2/viewer?title_no=3312&episode_no=12,
Portals and Portents,"Saturday, 09 Apr 2022 01:01:30 GMT",Ep. 11 ,https://www.webtoons.com/en/supernatural/eros-conquers-all/ep-11-portals-and-portents/viewer?title_no=3312&episode_no=11,
Old Gods (3),"Saturday, 02 Apr 2022 01:01:26 GMT",Ep. 10 ,https://www.webtoons.com/en/supernatural/eros-conquers-all/ep-10-old-gods-3/viewer?title_no=3312&episode_no=10,
Old Gods (2),"Saturday, 26 Mar 2022 01:01:29 GMT",Ep. 9 ,https://www.webtoons.com/en/supernatural/eros-conquers-all/ep-9-old-gods-2/viewer?title_no=3312&episode_no=9,
Old Gods,"Saturday, 19 Mar 2022 01:01:25 GMT",Ep. 8 ,https://www.webtoons.com/en/supernatural/eros-conquers-all/ep-8-old-gods/viewer?title_no=3312&episode_no=8,
Modest Pleasures (Part 3),"Saturday, 12 Mar 2022 02:01:23 GMT",Ep. 7 ,https://www.webtoons.com/en/supernatural/eros-conquers-all/ep-7-modest-pleasures-part-3/viewer?title_no=3312&episode_no=7,
Modest Pleasures (Part 2),"Saturday, 05 Mar 2022 02:01:27 GMT",Ep. 6 ,https://www.webtoons.com/en/supernatural/eros-conquers-all/ep-6-modest-pleasures-part-2/viewer?title_no=3312&episode_no=6,
Modest Pleasures,"Saturday, 26 Feb 2022 02:01:20 GMT",Ep. 5 ,https://www.webtoons.com/en/supernatural/eros-conquers-all/ep-5-modest-pleasures/viewer?title_no=3312&episode_no=5,
Myths,"Saturday, 19 Feb 2022 02:01:21 GMT",Ep. 4 ,https://www.webtoons.com/en/supernatural/eros-conquers-all/ep-4-myths/viewer?title_no=3312&episode_no=4,
King of Hearts (Part 2),"Saturday, 12 Feb 2022 01:00:37 GMT",Ep. 3 ,https://www.webtoons.com/en/supernatural/eros-conquers-all/ep-3-king-of-hearts-part-2/viewer?title_no=3312&episode_no=3,
